model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,accuracy,max_judge_retries,baseline_full_doc
ministral-3:8b-cloud,a010c97c0ec1_20260131225859,1,8.822495460510254,1333,1505,0,,0.8095238095238095,0,False
ministral-3:8b-cloud,a010c97c0ec1_20260131225859,2,4.059504508972168,1279,696,0,,0.8095238095238095,0,False
ministral-3:8b-cloud,a010c97c0ec1_20260131225859,3,2.600832462310791,1338,377,0,,0.8095238095238095,0,False
ministral-3:8b-cloud,a010c97c0ec1_20260131225859,4,16.36640954017639,1316,3050,0,,0.8095238095238095,0,False
ministral-3:8b-cloud,a010c97c0ec1_20260131225859,5,8.992814779281616,1307,1558,0,,0.8095238095238095,0,False
ministral-3:8b-cloud,a010c97c0ec1_20260131225859,6,2.3488566875457764,1331,313,0,,0.8095238095238095,0,False
ministral-3:8b-cloud,c3f206ee6fd9_20260131225937,1,21.873743534088135,754,1667,0,,0.9047619047619048,0,False
ministral-3:8b-cloud,c3f206ee6fd9_20260131225937,2,4.410764932632446,1279,678,0,,0.9047619047619048,0,False
ministral-3:8b-cloud,c3f206ee6fd9_20260131225937,3,5.967979431152344,1338,1019,0,,0.9047619047619048,0,False
ministral-3:8b-cloud,c3f206ee6fd9_20260131225937,4,17.486785888671875,1316,3063,0,,0.9047619047619048,0,False
ministral-3:8b-cloud,c3f206ee6fd9_20260131225937,5,6.857486724853516,1307,1066,0,,0.9047619047619048,0,False
ministral-3:8b-cloud,c3f206ee6fd9_20260131225937,6,2.7480199337005615,1331,429,0,,0.9047619047619048,0,False
ministral-3:8b-cloud,e71b200684d8_20260131225955,1,20.398549556732178,918,1472,0,,0.8095238095238095,0,False
ministral-3:8b-cloud,e71b200684d8_20260131225955,2,7.6592631340026855,1141,1294,0,,0.8095238095238095,0,False
ministral-3:8b-cloud,e71b200684d8_20260131225955,3,8.781950235366821,1338,998,0,,0.8095238095238095,0,False
ministral-3:8b-cloud,e71b200684d8_20260131225955,4,8.777066946029663,1316,1543,0,,0.8095238095238095,0,False
ministral-3:8b-cloud,e71b200684d8_20260131225955,5,15.860270738601685,1320,2794,0,,0.8095238095238095,0,False
ministral-3:8b-cloud,e71b200684d8_20260131225955,6,2.366909980773926,1331,315,0,,0.8095238095238095,0,False
ministral-3:8b-cloud,2b05f94f0ba4_20260131230053,1,12.611278772354126,1333,2058,0,,0.9047619047619048,0,False
ministral-3:8b-cloud,2b05f94f0ba4_20260131230053,2,4.537376880645752,1279,696,0,,0.9047619047619048,0,False
ministral-3:8b-cloud,2b05f94f0ba4_20260131230053,3,6.0854809284210205,1338,1051,0,,0.9047619047619048,0,False
ministral-3:8b-cloud,2b05f94f0ba4_20260131230053,4,15.562840938568115,1316,2331,0,,0.9047619047619048,0,False
ministral-3:8b-cloud,2b05f94f0ba4_20260131230053,5,6.436668634414673,1307,1089,0,,0.9047619047619048,0,False
ministral-3:8b-cloud,2b05f94f0ba4_20260131230053,6,3.6339638233184814,1331,500,0,,0.9047619047619048,0,False
ministral-3:8b-cloud,cc57bf370c2c_20260131230125,1,11.552340030670166,1103,1890,0,,0.9047619047619048,0,False
ministral-3:8b-cloud,cc57bf370c2c_20260131230125,2,6.162878513336182,1279,885,0,,0.9047619047619048,0,False
ministral-3:8b-cloud,cc57bf370c2c_20260131230125,3,6.6528589725494385,1338,964,0,,0.9047619047619048,0,False
ministral-3:8b-cloud,cc57bf370c2c_20260131230125,4,22.4462628364563,967,1364,0,,0.9047619047619048,0,False
ministral-3:8b-cloud,cc57bf370c2c_20260131230125,5,8.60852837562561,1307,1532,0,,0.9047619047619048,0,False
ministral-3:8b-cloud,cc57bf370c2c_20260131230125,6,2.515674352645874,1331,326,0,,0.9047619047619048,0,False
